objectid,vilnam_soi,stcode11,dtcode11,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,relocated,t_pop2011,STVIL,LOC_STAT_1,NAME
"289404",Rahumchhara,"18","317","02103","272660",ASSAM,Karimganj,Nilambazar,Rahumchhara,"272660",,"1689","18272660",Census Village,Rahumchhara
"290770",Dewali F.V.,"18","317","02103","300618",ASSAM,Karimganj,Nilambazar,Dewali F.V.,"300618",,"616","18300618",Census Village,Dewali F.V.
"291049",Ramnathpur F.V.,"18","318","02108","301240",ASSAM,Hailakandi,Lala,Ramnathpur F.V.,"301240",,"1389","18301240",Census Village,Ramnathpur F.V.
"291090",Piplacherra F.V.,"18","317","02103","300617",ASSAM,Karimganj,Nilambazar,Piplacharra F.V.,"300617",,"1162","18300617",Census Village,Piplacharra F.V.
"291231",Duttapur F.V.,"18","318","02108","301228",ASSAM,Hailakandi,Lala,Duttapur,"301228",,"929","18301228",Census Village,Duttapur
"291694",Balipipla F.V.,"18","317","02103","300616",ASSAM,Karimganj,Nilambazar,Balipipla F.V.,"300616",,"1392","18300616",Census Village,Balipipla F.V.
"291697",Jacobpur F.V.,"18","318","02108","301239",ASSAM,Hailakandi,Lala,Jakabpur F.V.,"301239",,"3230","18301239",Census Village,Jakabpur F.V.
"291877",Panchpiror Makam,"18","318","02108","301194",ASSAM,Hailakandi,Lala,Panch Pirar Mukam,"301194",,"650","18301194",Census Village,Panch Pirar Mukam
"291878",Piplapunjee F.V.,"18","317","02103","300614",ASSAM,Karimganj,Nilambazar,Piplapunjee F.V.,"300614",,"949","18300614",Census Village,Piplapunjee F.V.
"292041",Gutguri Punjee,"18","318","02108","301235",ASSAM,Hailakandi,Lala,Gutguti (Pakuwa) F.V.,"301235",,"1469","18301235",Census Village,Gutguti (Pakuwa) F.V.
"292157",Rangamati F.V.,"18","317","02103","300612",ASSAM,Karimganj,Nilambazar,Rangamati F.V.,"300612",,"1868","18300612",Census Village,Rangamati F.V.
"292675",Damchara Punjee,"18","318","02108","301237",ASSAM,Hailakandi,Lala,Damcherra F.V.,"301237",,"3101","18301237",Census Village,Damcherra F.V.
"292687",Jacobnagar F.V.,"18","317","02103","300611",ASSAM,Karimganj,Nilambazar,Jacobnagar F.V.,"300611",,"855","18300611",Census Village,Jacobnagar F.V.
"292752",Nilkantapur F.V.,"18","317","02103","300607",ASSAM,Karimganj,Nilambazar,Nilkantapur F.V.,"300607",,"949","18300607",Census Village,Nilkantapur F.V.
"292764",Damchara Punjee,"18","318","02108","301237",ASSAM,Hailakandi,Lala,Damcherra F.V.,"301237",,"3101","18301237",Census Village,Damcherra F.V.
"292931",Gharmura F.V. I,"18","318","02108","301238",ASSAM,Hailakandi,Lala,Garmura F.V.,"301238",,"4452","18301238",Census Village,Garmura F.V.
