state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_
Assam,Udalguri,"18","326","0211",Sipajhar (part),"0","60","617","18",2902163.30385,7163.52819483
Assam,Barpeta,"18","303","0038",Bajali,"2489","347","280","18",315508598.276,132679.134045
Assam,Baksa,"18","324","0211",Sipajhar (part),"0","722","616","18",4705577.43437,9315.85218473
Assam,Chirang,"18","320","0173",Dangtola (part),"0","829","612","18",50575254.8993,58473.6707241
Assam,Bongaigaon,"18","319","0176",Tapatari,"2507","1019","281","18",152500220.423,76686.8995221
Assam,Udalguri,"18","326","0215",Bechimari (part),"6555","1033","617","18",78782723.8861,63011.1691447
Assam,Udalguri,"18","326","0213",Pub-mangaldai (part),"6557","1038","617","18",42821837.8506,45277.4013767
Assam,Udalguri,"18","326","0212",Pachim-mangaldai (part),"6558","1051","617","18",6275570.09603,18868.8690445
Assam,Nalbari,"18","323","0208",Dham Dhama (part),"0","1572","298","18",13606741.8169,19699.6632322
Assam,Baksa,"18","324","0201",Barigog-banbhag (part),"0","1573","616","18",8813002.63563,13881.6835234
Assam,Cachar,"18","316","0158",Binnakandi,"2510","1920","282","18",123122919.457,65621.3927776
Assam,Dhubri,"18","301","0014",Birshingjarua,"2551","1936","285","18",229247568.488,97957.8402735
Assam,Nagaon,"18","305","0055",Pakhimaria,"2672","2217","297","18",94551040.1453,61302.2827632
Assam,Nagaon,"18","305","0050",Rupahi,"2674","2256","297","18",129169152.754,62769.5244627
Assam,Dhubri,"18","301","0010",Bilasipara,"2550","2573","285","18",168223223.93,107138.53347
Assam,Karbi Anglong East,"18","314","0137",Somelangso,"2625","2582","292","18",525895131.355,163664.313384
Assam,Barpeta,"18","303","0036",Barpeta,"2490","2583","280","18",112140218.88,75232.0785989
Assam,Cachar,"18","316","0148",Barkhola,"2511","2584","282","18",380814452.023,133171.38078
Assam,Karbi Anglong West,"18","759","0133",Socheng,"2626","2585","710","18",884291459.266,237091.506983
Assam,Barpeta,"18","303","0034",Bhawanipur,"2491","2586","280","18",226011927.862,145156.1072
Assam,Barpeta,"18","303","0029",Chakchaka,"2492","2587","280","18",154033167.704,113003.639286
Assam,Barpeta,"18","303","0032",Chenga,"2493","2589","280","18",277299566.606,108869.366104
Assam,Karimganj,"18","317","0164",Patherkandi,"2631","2590","293","18",263765928.455,97212.7770495
Assam,Barpeta,"18","303","0028",Gobardhana,"2494","2591","280","18",142484639.068,106156.568557
Assam,South Salmara-Mankachar,"18","758","0016",Jamadarhat,"2557","2592","707","18",116476301.654,57612.6111683
Assam,Barpeta,"18","303","0033",Gumafulbari,"2495","2593","280","18",191191658.52,107162.368361
Assam,Dhubri,"18","301","0015",Nayeralga,"2560","2594","285","18",132601746.172,73969.4609027
Assam,Baksa,"18","324","0039",Jalah (part),"2496","2595","616","18",539150587.113,177072.826846
Assam,Barpeta,"18","303","0031",Mandia,"2497","2596","280","18",740865791.651,186104.147351
Assam,Barpeta,"18","303","0035",Pakabetbari,"2498","2597","280","18",273623574.704,115576.973002
Assam,Barpeta,"18","303","0030",Rupsi Pt.,"2499","2598","280","18",191253277.049,113160.067915
Assam,Nalbari,"18","323","0200",Barbhag,"2680","2599","298","18",80408355.2726,60820.662593
Assam,Cachar,"18","316","0146",Katigorah,"2513","2600","282","18",174502619.14,123871.963716
Assam,Bongaigaon,"18","319","0174",Baitamari,"2501","2601","281","18",408745249.942,139913.759547
Assam,Barpeta,"18","303","0037",Sarukhetri,"2500","2602","280","18",146682196.716,76778.3688753
Assam,Cachar,"18","316","0147",Salchapra,"2518","2603","282","18",73772252.4787,89611.2445074
Assam,Cachar,"18","316","0150",Silchar,"2519","2604","282","18",92263550.2591,76937.1647798
Assam,Bongaigaon,"18","319","0175",Srijangram,"2506","2605","281","18",282049550.507,133928.64351
Assam,Chirang,"18","320","0179",Borobazar,"2502","2606","612","18",1028115738.08,190559.990227
Assam,Bongaigaon,"18","319","0173",Dangtola,"2503","2607","281","18",294534806.08,146980.186882
Assam,Cachar,"18","316","0152",Tapang,"2521","2608","282","18",235208501.013,87981.0674755
Assam,Cachar,"18","316","0151",Udarbond,"2522","2609","282","18",526064038.046,145485.357454
Assam,Bongaigaon,"18","319","0177",Manikpur,"2504","2610","281","18",211724934.205,146461.287672
