block_name,blkcode11,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
Agamoni,12,9017,15,8140,862,0,16629,33258000,67394,134788000
Algapur,168,13208,11040,2085,83,0,92004,184008000,98116,196232000
Amguri,108,856,800,55,1,0,6351,12702000,6528,13056000
Amri,130,4971,152,2797,2022,0,5549,11098000,34559,69118000
Badarpur,163,5290,3880,1388,22,0,33473,66946000,37782,75564000
Baghmara,73,2210,1756,454,0,0,15101,30202000,16460,32920000
Baitamari,174,6035,4833,546,656,0,39525,79050000,42595,85190000
Bajali,38,19767,517,10757,8493,0,24338,48676000,140412,280824000
Bajali (part),38,178,129,47,2,0,1124,2248000,1312,2624000
Bajiagaon,49,2845,1121,1721,3,0,15670,31340000,20903,41806000
Baksa,204,13577,10081,3172,324,0,86325,172650000,98995,197990000
Balijana,23,726,564,160,2,0,4955,9910000,5473,10946000
Balipara,66,9864,8984,860,20,0,69728,139456000,72459,144918000
Bangaon,187,2546,557,346,1643,0,5012,10024000,16781,33562000
Barbarua,98,2049,1909,139,1,0,15566,31132000,16037,32074000
Barbhag,200,8555,6676,397,1482,0,51300,102600000,59913,119826000
Barchala,65,3532,3277,242,13,0,25072,50144000,25901,51802000
Barchala (part),221,597,589,8,0,0,4475,8950000,4500,9000000
Barhampur,51,2945,2425,516,4,0,20241,40482000,21853,43706000
Barigog-banbhag,201,12531,8118,2543,1870,0,70324,140648000,87776,175552000
Barigog-banbhag (part),201,87,35,26,26,0,369,738000,580,1160000
Barjalenga,154,2586,0,2575,11,0,14675,29350000,19750,39500000
Barkhetri,199,13090,11089,726,1275,0,83543,167086000,92246,184492000
Barkhola,148,4028,0,4023,5,0,24795,49590000,30397,60794000
Barpeta,36,14512,426,8371,5715,0,19455,38910000,104087,208174000
Baskandi,157,877,0,852,25,0,5306,10612000,6470,12940000
Batadrawa,45,15522,2799,12708,15,0,76514,153028000,114997,229994000
Bechimari,215,18151,195,13276,4680,0,27846,55692000,129641,259282000
Bechimari (part),215,4495,2516,1258,721,0,21281,42562000,32529,65058000
Behali,74,3660,3357,301,2,0,27298,54596000,28217,56434000
Bezera,183,1917,1384,529,4,0,12424,24848000,14344,28688000
Bhawanipur,34,16163,1108,10544,4511,0,31347,62694000,119149,238298000
Bhergaon,217,10942,10258,655,29,0,78789,157578000,80995,161990000
Bhurbandha,43,12721,1019,7670,4032,0,23226,46452000,94176,188352000
Bihaguri,68,3873,3611,259,3,0,27953,55906000,28772,57544000
Bihdia-jajikona,180,7164,4802,2344,18,0,45583,91166000,52779,105558000
Bihpuria,79,5837,3898,1776,163,0,34990,69980000,40784,81568000
Bilasipara,10,5023,82,4823,118,0,11074,22148000,37977,75954000
Binnakandi,60,2153,293,1835,25,0,11352,22704000,16285,32570000
Binnakandi,158,1053,0,1037,16,0,6105,12210000,7752,15504000
Birshingjarua,14,1674,4,1244,426,0,2594,5188000,12408,24816000
Bishawnath,72,668,609,59,0,0,4852,9704000,5029,10058000
Boginodi,81,7395,3030,4292,73,0,42129,84258000,55582,111164000
Bokajan,135,118,0,114,4,0,189,378000,856,1712000
Boko-bongaon,190,3795,1955,1824,16,0,22421,44842000,28005,56010000
Bordoloni,90,4760,4338,416,6,0,33373,66746000,34700,69400000
Borobazar,179,14395,8363,5283,749,0,90090,180180000,108561,217122000
Borobazar (part),179,76,54,18,4,0,502,1004000,560,1120000
Chaiduar,75,1884,1717,165,2,0,12918,25836000,13430,26860000
Chakchaka,29,14011,553,5708,7750,0,15478,30956000,96370,192740000
Chamaria,189,3410,2364,1033,13,0,21765,43530000,24991,49982000
Chandrapur,194,579,467,112,0,0,3939,7878000,4277,8554000
Chapar-salkocha,11,4052,68,3827,157,0,8201,16402000,30342,60684000
Chapar-salkocha (part),11,1384,541,829,14,0,6976,13952000,10712,21424000
Chatia,70,2035,1963,72,0,0,15067,30134000,15289,30578000
Chayani Barduar,192,2914,2543,365,6,0,20165,40330000,21311,42622000
Chenga,32,6039,66,2758,3215,0,5677,11354000,42165,84330000
Chhaygaon,186,1368,881,485,2,0,9028,18056000,10425,20850000
Chinthong,131,4078,8,732,3338,0,949,1898000,25999,51998000
Dangtola,173,491,350,104,37,0,3042,6084000,3634,7268000
Debitola,8,9362,300,6971,2091,0,15541,31082000,68952,137904000
Demow,105,14295,13063,1217,15,0,103796,207592000,107638,215276000
Dhakuakhana,84,11547,7090,4371,82,4,69262,138524000,82857,165714000
Dhal Pukhuri,59,11027,5387,5243,397,0,54187,108374000,81525,163050000
Dham Dhama,208,8115,6529,1504,82,0,54141,108282000,60090,120180000
Dham Dhama (part),208,729,61,69,599,0,403,806000,3641,7282000
Dhekiajuli,63,9498,9075,409,14,0,69411,138822000,70760,141520000
Dhemaji,86,9114,8282,822,10,0,64984,129968000,67489,134978000
Dimoria,195,3473,3076,396,1,0,24012,48024000,25239,50478000
Diyung Valley,145,3545,2207,1336,2,0,20592,41184000,26654,53308000
Diyungbra,142,2003,745,1257,1,0,9554,19108000,15002,30004000
Dolgaon-sialmari,216,20563,787,13224,6552,0,31964,63928000,145204,290408000
Dotoma,4,13185,8540,4639,6,0,86578,173156000,100682,201364000
Dullavcherra,167,1496,971,489,36,0,9314,18628000,11019,22038000
Dulongghat Pt.,46,1010,206,803,1,0,5140,10280000,7577,15154000
Fekamari,18,7133,6286,767,80,0,48685,97370000,51683,103366000
Gabharu,64,10898,8117,2762,19,0,72138,144276000,80606,161212000
Gamariguri,128,4915,0,4870,45,0,28009,56018000,35687,71374000
Gauripur,13,22736,37,18471,4228,0,39290,78580000,169895,339790000
Ghilamora,85,5207,3254,1863,90,0,31077,62154000,37086,74172000
Gobardhana,28,5232,342,3462,1428,0,10177,20354000,39018,78036000
Gobardhana (part),28,5956,3784,2007,165,0,34528,69056000,44012,88024000
Golaghat Central,126,4172,0,4134,38,0,24677,49354000,30804,61608000
Golaghat East,127,9016,0,8847,169,0,50604,101208000,64613,129226000
Golaghat North,124,861,0,859,2,0,5238,10476000,6482,12964000
Golaghat South,129,12888,0,12810,78,0,72470,144940000,91779,183558000
Golaghat West,122,13471,24,13421,26,0,78116,156232000,98527,197054000
Golokganj,6,4658,10,4260,388,0,8509,17018000,34811,69622000
Goreswar (part),205,2332,715,1091,526,0,8122,16244000,14877,29754000
Goroimari,188,11843,3797,8014,32,0,62387,124774000,86930,173860000
Gossaigaon,2,4776,2469,2238,69,0,26888,53776000,36291,72582000
Gourisagar,107,8290,7716,557,17,0,60038,120076000,61834,123668000
Guijan,95,3251,2552,698,1,0,21958,43916000,24048,48096000
Gumafulbari,33,12805,73,8448,4284,0,16938,33876000,93839,187678000
Hailakandi,169,18115,14878,3188,49,0,124921,249842000,134957,269914000
Hajo,184,14954,7944,6856,154,0,89878,179756000,111443,222886000
Hapjan,93,1837,1391,446,0,0,12444,24888000,13777,27554000
Harangajao,143,1047,586,458,3,0,5798,11596000,7885,15770000
Hatidhura,3,286,171,113,2,0,1640,3280000,2141,4282000
Howraghat,136,5844,0,5151,693,0,10643,21286000,43388,86776000
Itakhuli,96,2871,1302,1561,8,0,17202,34404000,21908,43816000
Jalah (part),39,4612,61,2869,1682,0,6467,12934000,33614,67228000
Jaleswar,20,15378,11883,3435,60,0,102088,204176000,113053,226106000
Jamadarhat,16,4511,234,4197,80,0,10156,20312000,33469,66938000
Jatinga Valley,144,1971,780,1191,0,0,9491,18982000,14724,29448000
Jorhat,117,7710,7092,559,59,0,55993,111986000,57945,115890000
Jorhat Central,118,3512,3170,332,10,0,24961,49922000,26022,52044000
Jorhat East,120,138,131,7,0,0,986,1972000,1010,2020000
Jorhat North West,116,11418,10787,618,13,0,82885,165770000,84779,169558000
Joypur,104,5320,5036,275,9,0,39736,79472000,40563,81126000
Jugijan,58,4399,2179,1985,235,0,22906,45812000,33086,66172000
Juria,53,7346,2548,4789,9,0,40312,80624000,54877,109754000
Kachugaon,1,5887,3523,2361,3,0,37474,74948000,44713,89426000
Kakapathar,94,2731,1858,872,1,0,17728,35456000,20365,40730000
Kalaigaon,214,23866,623,17440,5803,0,41054,82108000,169345,338690000
Kalaigaon (part),214,12019,10633,807,579,0,80806,161612000,87885,175770000
Kalain,149,10601,0,10585,16,0,58531,117062000,78397,156794000
Kaliabor,48,5161,3253,1908,0,0,33211,66422000,38982,77964000
