,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
66,Assam,Chirang,18,320,173,Dangtola (part),0,829,612,18,50575254.9,58473.67072,,,,,,,,,,,,,,,
150,Assam,Udalguri,18,326,215,Bechimari (part),6555,1033,617,18,78782723.89,63011.16914,452394.0,Barigaon,18.0,326.0,2149.0,304863.0,ASSAM,Udalguri,Dalgaon (Pt),Borigaon,304863.0,1121.0,18304863.0,Census Village,Borigaon
179,Assam,Cachar,18,316,158,Binnakandi,2510,1920,282,18,123122919.5,65621.39278,319327.0,Hatikuri Grant,18.0,316.0,2099.0,299932.0,ASSAM,Cachar,Sonai,Hatiguri,299932.0,1739.0,18299932.0,Census Village,Hatiguri
180,Assam,Cachar,18,316,158,Binnakandi,2510,1920,282,18,123122919.5,65621.39278,319390.0,Hatikuri Grant,18.0,316.0,2099.0,299932.0,ASSAM,Cachar,Sonai,Hatiguri,299932.0,1739.0,18299932.0,Census Village,Hatiguri
199,Assam,Cachar,18,316,158,Binnakandi,2510,1920,282,18,123122919.5,65621.39278,325460.0,Binnakandi Pt. I,18.0,316.0,2099.0,299916.0,ASSAM,Cachar,Sonai,Binnakandi Pt I,299916.0,2586.0,18299916.0,Census Village,Binnakandi Pt I
200,Assam,Cachar,18,316,158,Binnakandi,2510,1920,282,18,123122919.5,65621.39278,325468.0,Binnakandi Pt. I,18.0,316.0,2099.0,299916.0,ASSAM,Cachar,Sonai,Binnakandi Pt I,299916.0,2586.0,18299916.0,Census Village,Binnakandi Pt I
214,Assam,Nagaon,18,305,55,Pakhimaria,2672,2217,297,18,94551040.15,61302.28276,433771.0,Hatipara,18.0,305.0,2035.0,284729.0,ASSAM,Nagaon,Nagaon,Hatipara,284729.0,1583.0,18284729.0,Census Village,Hatipara
216,Assam,Nagaon,18,305,55,Pakhimaria,2672,2217,297,18,94551040.15,61302.28276,433870.0,Hatipara,18.0,305.0,2035.0,284729.0,ASSAM,Nagaon,Nagaon,Hatipara,284729.0,1583.0,18284729.0,Census Village,Hatipara
243,Assam,Dhubri,18,301,10,Bilasipara,2550,2573,285,18,168223223.9,107138.5335,420396.0,Gobardhanpara,18.0,301.0,2009.0,281223.0,ASSAM,Dhubri,Bilasipara (Pt),Gobardhonpara,281223.0,3001.0,18281223.0,Census Village,Gobardhonpara
350,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,327835.0,Dudpatil Vi,18.0,316.0,2096.0,299380.0,ASSAM,Cachar,Katigora,Dudhpatil Pt VI (CT),299380.0,5083.0,18299380.0,Census Village,Dudhpatil Pt VI (CT)
351,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,329096.0,Dudpatil V,18.0,316.0,2096.0,299381.0,ASSAM,Cachar,Katigora,Dudhpatil Pt V (CT),299381.0,4121.0,18299381.0,Census Village,Dudhpatil Pt V (CT)
352,Assam,Cachar,18,316,148,Barkhola,2511,2584,282,18,380814452.0,133171.3808,329286.0,Dudpatil V,18.0,316.0,2096.0,299381.0,ASSAM,Cachar,Katigora,Dudhpatil Pt V (CT),299381.0,4121.0,18299381.0,Census Village,Dudhpatil Pt V (CT)
