,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME
0,Assam,Udalguri,18,326,211,Sipajhar (part),0,60,617,18,2902163.304,7163.528195,443240.0,Kotora,18.0,326.0,2146.0,305428.0,ASSAM,Udalguri,Pathorighat (Pt),Kotara,305428.0,1008.0,18305428.0,Census Village,Kotara
1,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,435682.0,Kasukuri Gaon,18.0,303.0,2024.0,283267.0,ASSAM,Barpeta,Bajali (Pt),Kashkuri Gaon,283267.0,654.0,18283267.0,Census Village,Kashkuri Gaon
2,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436056.0,Maguri,18.0,303.0,2024.0,283293.0,ASSAM,Barpeta,Bajali (Pt),Maguri,283293.0,230.0,18283293.0,Census Village,Maguri
3,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436142.0,Panara,18.0,303.0,2024.0,283290.0,ASSAM,Barpeta,Bajali (Pt),Panara,283290.0,119.0,18283290.0,Census Village,Panara
4,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436155.0,Bagaon,18.0,303.0,2024.0,283292.0,ASSAM,Barpeta,Bajali (Pt),Ban Gaon,283292.0,1393.0,18283292.0,Census Village,Ban Gaon
5,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436543.0,Hathinapur,18.0,303.0,2024.0,283252.0,ASSAM,Barpeta,Bajali (Pt),Hathina Pur,283252.0,1386.0,18283252.0,Census Village,Hathina Pur
6,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436696.0,Rupdiga,18.0,303.0,2024.0,283294.0,ASSAM,Barpeta,Bajali (Pt),Rupdiga,283294.0,474.0,18283294.0,Census Village,Rupdiga
7,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436736.0,Bargandubi,18.0,303.0,2024.0,283291.0,ASSAM,Barpeta,Bajali (Pt),Bargandubi,283291.0,792.0,18283291.0,Census Village,Bargandubi
8,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437369.0,Kochdiga,18.0,303.0,2024.0,283295.0,ASSAM,Barpeta,Bajali (Pt),Kochdiga,283295.0,495.0,18283295.0,Census Village,Kochdiga
9,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437479.0,Uparnai,18.0,303.0,2024.0,283298.0,ASSAM,Barpeta,Bajali (Pt),Uparnoi,283298.0,1421.0,18283298.0,Census Village,Uparnoi
10,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437651.0,Lesrapara,18.0,303.0,2024.0,283306.0,ASSAM,Barpeta,Bajali (Pt),Lechera Para,283306.0,539.0,18283306.0,Census Village,Lechera Para
11,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437693.0,Tihudekhata,18.0,303.0,2024.0,283296.0,ASSAM,Barpeta,Bajali (Pt),Tihu Dekhata,283296.0,1625.0,18283296.0,Census Village,Tihu Dekhata
12,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437891.0,Balipara,18.0,303.0,2024.0,283313.0,ASSAM,Barpeta,Bajali (Pt),Balipara,283313.0,749.0,18283313.0,Census Village,Balipara
13,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437908.0,Nalipara,18.0,303.0,2024.0,283307.0,ASSAM,Barpeta,Bajali (Pt),Nali Para,283307.0,432.0,18283307.0,Census Village,Nali Para
14,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437957.0,Bargunari,18.0,303.0,2024.0,283299.0,ASSAM,Barpeta,Bajali (Pt),Bargunari,283299.0,1263.0,18283299.0,Census Village,Bargunari
15,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438121.0,Khudrabhaluki,18.0,303.0,2024.0,283314.0,ASSAM,Barpeta,Bajali (Pt),Khudra Bhaluki,283314.0,757.0,18283314.0,Census Village,Khudra Bhaluki
16,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438412.0,Jalikhata,18.0,303.0,2024.0,283302.0,ASSAM,Barpeta,Bajali (Pt),Jalikhata,283302.0,1598.0,18283302.0,Census Village,Jalikhata
17,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438430.0,Dubi,18.0,303.0,2024.0,283297.0,ASSAM,Barpeta,Bajali (Pt),Dubi,283297.0,2931.0,18283297.0,Census Village,Dubi
18,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438473.0,Barbhaluki,18.0,303.0,2024.0,283315.0,ASSAM,Barpeta,Bajali (Pt),Bar Bhaluki,283315.0,1742.0,18283315.0,Census Village,Bar Bhaluki
19,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438514.0,Belana,18.0,303.0,2024.0,283305.0,ASSAM,Barpeta,Bajali (Pt),Belona,283305.0,1331.0,18283305.0,Census Village,Belona
20,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438770.0,Bhethua,18.0,303.0,2024.0,283304.0,ASSAM,Barpeta,Bajali (Pt),Bhethua,283304.0,697.0,18283304.0,Census Village,Bhethua
21,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438857.0,Barbairagi,18.0,303.0,2024.0,283318.0,ASSAM,Barpeta,Bajali (Pt),Bar-Bairagi,283318.0,851.0,18283318.0,Census Village,Bar-Bairagi
22,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439063.0,Dumuria,18.0,303.0,2024.0,283310.0,ASSAM,Barpeta,Bajali (Pt),Dumuria,283310.0,1342.0,18283310.0,Census Village,Dumuria
23,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439078.0,Niz Sariha,18.0,303.0,2024.0,283319.0,ASSAM,Barpeta,Bajali (Pt),Niz-Sariha (Nizasariha),283319.0,1132.0,18283319.0,Census Village,Niz-Sariha (Nizasariha)
24,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439098.0,Bamunkuchi,18.0,303.0,2024.0,283303.0,ASSAM,Barpeta,Bajali (Pt),Bamunkuchi,283303.0,1572.0,18283303.0,Census Village,Bamunkuchi
25,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439264.0,Titakataje,18.0,303.0,2024.0,283300.0,ASSAM,Barpeta,Bajali (Pt),Titkataje,283300.0,980.0,18283300.0,Census Village,Titkataje
26,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439306.0,Titkagaria,18.0,303.0,2024.0,283309.0,ASSAM,Barpeta,Bajali (Pt),Titka Garia,283309.0,2393.0,18283309.0,Census Village,Titka Garia
27,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439552.0,Raypur,18.0,303.0,2024.0,283301.0,ASSAM,Barpeta,Bajali (Pt),Raipur,283301.0,1594.0,18283301.0,Census Village,Raipur
28,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439583.0,Nathkuchi No.I,18.0,303.0,2024.0,303635.0,ASSAM,Barpeta,Bajali (Pt),No.1.Nathkuchi,303635.0,2986.0,18303635.0,Census Village,No.1.Nathkuchi
29,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439662.0,Pathsalagaon,18.0,303.0,2024.0,283308.0,ASSAM,Barpeta,Bajali (Pt),Pathsala Gaon,283308.0,663.0,18283308.0,Census Village,Pathsala Gaon
30,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439983.0,Kukuabatabari,18.0,303.0,2024.0,283311.0,ASSAM,Barpeta,Bajali (Pt),Kukua Batabari,283311.0,300.0,18283311.0,Census Village,Kukua Batabari
31,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440043.0,Barbatabari,18.0,303.0,2024.0,283321.0,ASSAM,Barpeta,Bajali (Pt),Barbatabari,283321.0,744.0,18283321.0,Census Village,Barbatabari
32,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440120.0,Dharamtola,18.0,303.0,2024.0,283320.0,ASSAM,Barpeta,Bajali (Pt),Dharamtala,283320.0,1700.0,18283320.0,Census Village,Dharamtala
