,state,district,stcode11,dtcode11,blkcode11,block_name,block_lgd,FID,dist_lgd,state_lgd,st_area_sh,st_length_,objectid,vilnam_soi,stcode11_2,dtcode11_2,sdtcode11,vilcode11,stname,dtname,sdtname,vilname,vilcode_n,t_pop2011,STVIL,LOC_STAT_1,NAME,state_name,state_code,dist_name,dist_code,sub_name,sub_code,vill_name,vill_code,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amound_paid,no_install_due,amount_due
0,Assam,Udalguri,18,326,211,Sipajhar (part),0,60,617,18,2902163.304,7163.528195,443240.0,Kotora,18.0,326.0,2146.0,305428.0,ASSAM,Udalguri,Pathorighat (Pt),Kotara,305428.0,1008.0,18305428.0,Census Village,Kotara,ASSAM,18,UDALGURI,617,Kalaigaon,6427,Kotara - (305428),305428,3.0,3.0,0.0,0.0,0.0,24.0,48000,24.0,48000
1,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,435682.0,Kasukuri Gaon,18.0,303.0,2024.0,283267.0,ASSAM,Barpeta,Bajali (Pt),Kashkuri Gaon,283267.0,654.0,18283267.0,Census Village,Kashkuri Gaon,ASSAM,18,BARPETA,280,Sarthebari,2023,Kashkuri Gaon - (283267),283267,108.0,1.0,99.0,8.0,0.0,214.0,428000,850.0,1700000
2,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436056.0,Maguri,18.0,303.0,2024.0,283293.0,ASSAM,Barpeta,Bajali (Pt),Maguri,283293.0,230.0,18283293.0,Census Village,Maguri,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Maguri - (283293),283293,50.0,0.0,41.0,9.0,0.0,76.0,152000,377.0,754000
3,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436142.0,Panara,18.0,303.0,2024.0,283290.0,ASSAM,Barpeta,Bajali (Pt),Panara,283290.0,119.0,18283290.0,Census Village,Panara,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Panara - (283290),283290,155.0,0.0,18.0,137.0,0.0,34.0,68000,970.0,1940000
4,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436155.0,Bagaon,18.0,303.0,2024.0,283292.0,ASSAM,Barpeta,Bajali (Pt),Ban Gaon,283292.0,1393.0,18283292.0,Census Village,Ban Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Ban Gaon - (283292),283292,813.0,10.0,322.0,481.0,0.0,695.0,1390000,5552.0,11104000
5,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436543.0,Hathinapur,18.0,303.0,2024.0,283252.0,ASSAM,Barpeta,Bajali (Pt),Hathina Pur,283252.0,1386.0,18283252.0,Census Village,Hathina Pur,ASSAM,18,BARPETA,280,Sarthebari,2023,Hathina Pur - (283252),283252,195.0,2.0,180.0,13.0,0.0,351.0,702000,1548.0,3096000
6,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436696.0,Rupdiga,18.0,303.0,2024.0,283294.0,ASSAM,Barpeta,Bajali (Pt),Rupdiga,283294.0,474.0,18283294.0,Census Village,Rupdiga,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Rupdiga - (283294),283294,124.0,0.0,59.0,65.0,0.0,107.0,214000,863.0,1726000
7,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,436736.0,Bargandubi,18.0,303.0,2024.0,283291.0,ASSAM,Barpeta,Bajali (Pt),Bargandubi,283291.0,792.0,18283291.0,Census Village,Bargandubi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bargandubi - (283291),283291,950.0,0.0,227.0,723.0,0.0,429.0,858000,6152.0,12304000
8,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437369.0,Kochdiga,18.0,303.0,2024.0,283295.0,ASSAM,Barpeta,Bajali (Pt),Kochdiga,283295.0,495.0,18283295.0,Census Village,Kochdiga,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Kochdiga - (283295),283295,84.0,0.0,84.0,0.0,0.0,159.0,318000,667.0,1334000
9,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437479.0,Uparnai,18.0,303.0,2024.0,283298.0,ASSAM,Barpeta,Bajali (Pt),Uparnoi,283298.0,1421.0,18283298.0,Census Village,Uparnoi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Uparnoi - (283298),283298,148.0,5.0,131.0,12.0,0.0,295.0,590000,1170.0,2340000
10,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437651.0,Lesrapara,18.0,303.0,2024.0,283306.0,ASSAM,Barpeta,Bajali (Pt),Lechera Para,283306.0,539.0,18283306.0,Census Village,Lechera Para,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Lechera Para - (283306),283306,59.0,1.0,43.0,15.0,0.0,94.0,188000,442.0,884000
11,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437693.0,Tihudekhata,18.0,303.0,2024.0,283296.0,ASSAM,Barpeta,Bajali (Pt),Tihu Dekhata,283296.0,1625.0,18283296.0,Census Village,Tihu Dekhata,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Tihu Dekhata - (283296),283296,276.0,1.0,250.0,25.0,0.0,476.0,952000,2139.0,4278000
12,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437891.0,Balipara,18.0,303.0,2024.0,283313.0,ASSAM,Barpeta,Bajali (Pt),Balipara,283313.0,749.0,18283313.0,Census Village,Balipara,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Balipara - (283313),283313,1015.0,0.0,244.0,771.0,0.0,464.0,928000,6596.0,13192000
13,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437908.0,Nalipara,18.0,303.0,2024.0,283307.0,ASSAM,Barpeta,Bajali (Pt),Nali Para,283307.0,432.0,18283307.0,Census Village,Nali Para,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Nali Para - (283307),283307,68.0,2.0,59.0,7.0,0.0,134.0,268000,531.0,1062000
14,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,437957.0,Bargunari,18.0,303.0,2024.0,283299.0,ASSAM,Barpeta,Bajali (Pt),Bargunari,283299.0,1263.0,18283299.0,Census Village,Bargunari,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bargunari - (283299),283299,1004.0,1.0,211.0,792.0,0.0,416.0,832000,6486.0,12972000
15,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438121.0,Khudrabhaluki,18.0,303.0,2024.0,283314.0,ASSAM,Barpeta,Bajali (Pt),Khudra Bhaluki,283314.0,757.0,18283314.0,Census Village,Khudra Bhaluki,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Khudra Bhaluki - (283314),283314,75.0,1.0,68.0,6.0,0.0,145.0,290000,590.0,1180000
16,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438412.0,Jalikhata,18.0,303.0,2024.0,283302.0,ASSAM,Barpeta,Bajali (Pt),Jalikhata,283302.0,1598.0,18283302.0,Census Village,Jalikhata,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Jalikhata - (283302),283302,208.0,2.0,204.0,2.0,0.0,355.0,710000,1601.0,3202000
17,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438430.0,Dubi,18.0,303.0,2024.0,283297.0,ASSAM,Barpeta,Bajali (Pt),Dubi,283297.0,2931.0,18283297.0,Census Village,Dubi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Dubi - (283297),283297,170.0,5.0,162.0,3.0,0.0,337.0,674000,1349.0,2698000
18,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438473.0,Barbhaluki,18.0,303.0,2024.0,283315.0,ASSAM,Barpeta,Bajali (Pt),Bar Bhaluki,283315.0,1742.0,18283315.0,Census Village,Bar Bhaluki,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bar Bhaluki - (283315),283315,739.0,3.0,389.0,347.0,0.0,759.0,1518000,5206.0,10412000
19,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438514.0,Belana,18.0,303.0,2024.0,283305.0,ASSAM,Barpeta,Bajali (Pt),Belona,283305.0,1331.0,18283305.0,Census Village,Belona,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Belona - (283305),283305,1015.0,4.0,192.0,819.0,0.0,412.0,824000,6523.0,13046000
20,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438770.0,Bhethua,18.0,303.0,2024.0,283304.0,ASSAM,Barpeta,Bajali (Pt),Bhethua,283304.0,697.0,18283304.0,Census Village,Bhethua,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bhethua - (283304),283304,441.0,3.0,94.0,344.0,0.0,208.0,416000,2859.0,5718000
21,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,438857.0,Barbairagi,18.0,303.0,2024.0,283318.0,ASSAM,Barpeta,Bajali (Pt),Bar-Bairagi,283318.0,851.0,18283318.0,Census Village,Bar-Bairagi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bar-Bairagi - (283318),283318,569.0,0.0,363.0,206.0,0.0,696.0,1392000,4137.0,8274000
22,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439063.0,Dumuria,18.0,303.0,2024.0,283310.0,ASSAM,Barpeta,Bajali (Pt),Dumuria,283310.0,1342.0,18283310.0,Census Village,Dumuria,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Dumuria - (283310),283310,140.0,4.0,130.0,6.0,0.0,305.0,610000,1115.0,2230000
23,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439078.0,Niz Sariha,18.0,303.0,2024.0,283319.0,ASSAM,Barpeta,Bajali (Pt),Niz-Sariha (Nizasariha),283319.0,1132.0,18283319.0,Census Village,Niz-Sariha (Nizasariha),ASSAM,18,BARPETA,280,Bajali (Pt),2024,Niz-Sariha (Nizasariha) - (283319),283319,57.0,0.0,51.0,6.0,0.0,104.0,208000,438.0,876000
24,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439098.0,Bamunkuchi,18.0,303.0,2024.0,283303.0,ASSAM,Barpeta,Bajali (Pt),Bamunkuchi,283303.0,1572.0,18283303.0,Census Village,Bamunkuchi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Bamunkuchi - (283303),283303,954.0,11.0,317.0,626.0,0.0,698.0,1396000,6366.0,12732000
25,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439264.0,Titakataje,18.0,303.0,2024.0,283300.0,ASSAM,Barpeta,Bajali (Pt),Titkataje,283300.0,980.0,18283300.0,Census Village,Titkataje,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Titkataje - (283300),283300,153.0,4.0,100.0,49.0,0.0,223.0,446000,1140.0,2280000
26,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439306.0,Titkagaria,18.0,303.0,2024.0,283309.0,ASSAM,Barpeta,Bajali (Pt),Titka Garia,283309.0,2393.0,18283309.0,Census Village,Titka Garia,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Titka Garia - (283309),283309,184.0,7.0,152.0,25.0,0.0,358.0,716000,1429.0,2858000
27,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439552.0,Raypur,18.0,303.0,2024.0,283301.0,ASSAM,Barpeta,Bajali (Pt),Raipur,283301.0,1594.0,18283301.0,Census Village,Raipur,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Raipur - (283301),283301,116.0,3.0,100.0,13.0,0.0,199.0,398000,888.0,1776000
28,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439583.0,Nathkuchi No.I,18.0,303.0,2024.0,303635.0,ASSAM,Barpeta,Bajali (Pt),No.1.Nathkuchi,303635.0,2986.0,18303635.0,Census Village,No.1.Nathkuchi,ASSAM,18,NALBARI,298,Tihu (Pt),2132,No.1.Nathkuchi - (303635),303635,223.0,212.0,10.0,1.0,0.0,1627.0,3254000,1681.0,3362000
29,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439662.0,Pathsalagaon,18.0,303.0,2024.0,283308.0,ASSAM,Barpeta,Bajali (Pt),Pathsala Gaon,283308.0,663.0,18283308.0,Census Village,Pathsala Gaon,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Pathsala Gaon - (283308),283308,275.0,0.0,228.0,47.0,0.0,440.0,880000,2095.0,4190000
30,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,439983.0,Kukuabatabari,18.0,303.0,2024.0,283311.0,ASSAM,Barpeta,Bajali (Pt),Kukua Batabari,283311.0,300.0,18283311.0,Census Village,Kukua Batabari,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Kukua Batabari - (283311),283311,16.0,1.0,12.0,3.0,0.0,35.0,70000,122.0,244000
31,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440043.0,Barbatabari,18.0,303.0,2024.0,283321.0,ASSAM,Barpeta,Bajali (Pt),Barbatabari,283321.0,744.0,18283321.0,Census Village,Barbatabari,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Barbatabari - (283321),283321,637.0,1.0,228.0,408.0,0.0,460.0,920000,4293.0,8586000
32,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440120.0,Dharamtola,18.0,303.0,2024.0,283320.0,ASSAM,Barpeta,Bajali (Pt),Dharamtala,283320.0,1700.0,18283320.0,Census Village,Dharamtala,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Dharamtala - (283320),283320,94.0,10.0,83.0,1.0,0.0,242.0,484000,734.0,1468000
33,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440255.0,Nalana,18.0,303.0,2024.0,283285.0,ASSAM,Barpeta,Bajali (Pt),Nalana,283285.0,712.0,18283285.0,Census Village,Nalana,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Nalana - (283285),283285,26.0,0.0,23.0,3.0,0.0,42.0,84000,202.0,404000
34,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440322.0,Rahadhar Birkala,18.0,303.0,2024.0,283284.0,ASSAM,Barpeta,Bajali (Pt),Rahadhar Birkala,283284.0,1706.0,18283284.0,Census Village,Rahadhar Birkala,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Rahadhar Birkala - (283284),283284,23.0,1.0,10.0,12.0,0.0,28.0,56000,166.0,332000
35,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440409.0,Nathkuchi No.Ii,18.0,303.0,2024.0,303636.0,ASSAM,Barpeta,Bajali (Pt),No.2.Nathkuchi,303636.0,1651.0,18303636.0,Census Village,No.2.Nathkuchi,ASSAM,18,NALBARI,298,Tihu (Pt),2132,No.2.Nathkuchi - (303636),303636,173.0,124.0,8.0,41.0,0.0,930.0,1860000,1170.0,2340000
36,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440493.0,Muguria,18.0,303.0,2024.0,283287.0,ASSAM,Barpeta,Bajali (Pt),Muguria,283287.0,3101.0,18283287.0,Census Village,Muguria,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Muguria - (283287),283287,179.0,7.0,166.0,6.0,0.0,387.0,774000,1416.0,2832000
37,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,440765.0,Barbhala,18.0,303.0,2024.0,283324.0,ASSAM,Barpeta,Bajali (Pt),Barbhala,283324.0,966.0,18283324.0,Census Village,Barbhala,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Barbhala - (283324),283324,669.0,3.0,200.0,466.0,0.0,421.0,842000,4434.0,8868000
38,Assam,Barpeta,18,303,38,Bajali,2489,347,280,18,315508598.3,132679.134,441054.0,Pathcharkuchi,18.0,303.0,2024.0,283322.0,ASSAM,Barpeta,Bajali (Pt),Patacharkuchi,283322.0,1530.0,18283322.0,Census Village,Patacharkuchi,ASSAM,18,BARPETA,280,Bajali (Pt),2024,Patacharkuchi - (283322),283322,225.0,6.0,194.0,25.0,0.0,390.0,780000,1701.0,3402000
