blkcode11,block_name,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,amount_paid,no_install_due,amount_due
211,Sipajhar (part),815,411,211,193,0,3478,"₹69,56,000 ",5196,"₹1,03,92,000 "
38,Bajali,19767,517,10757,8493,0,24338,"₹4,86,76,000 ",140412,"₹28,08,24,000 "
211,Sipajhar (part),815,411,211,193,0,3478,"₹69,56,000 ",5196,"₹1,03,92,000 "
173,Dangtola (part),,,,,,,,,
176,Tapatari,10688,8085,2269,334,0,69648,"₹13,92,96,000 ",78338,"₹15,66,76,000 "
215,Bechimari (part),4495,2516,1258,721,0,21281,"₹4,25,62,000 ",32529,"₹6,50,58,000 "
213,Pub-mangaldai (part),2887,2292,495,100,0,18853,"₹3,77,06,000 ",21852,"₹4,37,04,000 "
212,Pachim-mangaldai (part),172,170,2,0,0,1236,"₹24,72,000 ",1246,"₹24,92,000 "
208,Dham Dhama (part),729,61,69,599,0,403,"₹8,06,000 ",3641,"₹72,82,000 "
201,Barigog-banbhag (part),87,35,26,26,0,369,"₹7,38,000 ",580,"₹11,60,000 "
158,Binnakandi,2153,293,1835,25,0,11352,"₹2,27,04,000 ",16285,"₹3,25,70,000 "
14,Birshingjarua,1674,4,1244,426,0,2594,"₹51,88,000 ",12408,"₹2,48,16,000 "
55,Pakhimaria,1063,809,251,3,0,7126,"₹1,42,52,000 ",7919,"₹1,58,38,000 "
50,Rupahi,4890,123,4765,2,0,21676,"₹4,33,52,000 ",36373,"₹7,27,46,000 "
10,Bilasipara,5023,82,4823,118,0,11074,"₹2,21,48,000 ",37977,"₹7,59,54,000 "
137,Somelangso,2065,0,1692,373,0,3763,"₹75,26,000 ",15248,"₹3,04,96,000 "
36,Barpeta,14512,426,8371,5715,0,19455,"₹3,89,10,000 ",104087,"₹20,81,74,000 "
148,Barkhola,4028,0,4023,5,0,24795,"₹4,95,90,000 ",30397,"₹6,07,94,000 "
133,Socheng,7470,0,4268,3202,0,9955,"₹1,99,10,000 ",52680,"₹10,53,60,000 "
34,Bhawanipur,16163,1108,10544,4511,0,31347,"₹6,26,94,000 ",119149,"₹23,82,98,000 "
29,Chakchaka,14011,553,5708,7750,0,15478,"₹3,09,56,000 ",96370,"₹19,27,40,000 "
32,Chenga,6039,66,2758,3215,0,5677,"₹1,13,54,000 ",42165,"₹8,43,30,000 "
164,Patherkandi,1253,1047,199,7,0,8511,"₹1,70,22,000 ",9114,"₹1,82,28,000 "
28,Gobardhana,5232,342,3462,1428,0,10177,"₹2,03,54,000 ",39018,"₹7,80,36,000 "
16,Jamadarhat,4511,234,4197,80,0,10156,"₹2,03,12,000 ",33469,"₹6,69,38,000 "
33,Gumafulbari,12805,73,8448,4284,0,16938,"₹3,38,76,000 ",93839,"₹18,76,78,000 "
15,Nayeralga,8001,320,7431,250,0,17331,"₹3,46,62,000 ",59932,"₹11,98,64,000 "
39,Jalah (part),4612,61,2869,1682,0,6467,"₹1,29,34,000 ",33614,"₹6,72,28,000 "
31,Mandia,40537,631,27555,12351,0,59893,"₹11,97,86,000 ",300762,"₹60,15,24,000 "
35,Pakabetbari,27700,873,20216,6611,0,47707,"₹9,54,14,000 ",208598,"₹41,71,96,000 "
30,Rupsi Pt.,10736,33,9362,1341,0,19961,"₹3,99,22,000 ",80727,"₹16,14,54,000 "
200,Barbhag,8555,6676,397,1482,0,51300,"₹10,26,00,000 ",59913,"₹11,98,26,000 "
146,Katigorah,11800,300,11471,29,0,65841,"₹13,16,82,000 ",87425,"₹17,48,50,000 "
174,Baitamari,6035,4833,546,656,0,39525,"₹7,90,50,000 ",42595,"₹8,51,90,000 "
37,Sarukhetri,24381,176,20982,3223,0,41135,"₹8,22,70,000 ",188794,"₹37,75,88,000 "
147,Salchapra,4603,336,4231,36,0,26789,"₹5,35,78,000 ",34143,"₹6,82,86,000 "
150,Silchar,2618,0,2573,45,0,14500,"₹2,90,00,000 ",19480,"₹3,89,60,000 "
175,Srijangram,15215,12140,2681,394,0,102079,"₹20,41,58,000 ",111791,"₹22,35,82,000 "
179,Borobazar,14395,8363,5283,749,0,90090,"₹18,01,80,000 ",108561,"₹21,71,22,000 "
173,Dangtola,491,350,104,37,0,3042,"₹60,84,000 ",3634,"₹72,68,000 "
152,Tapang,2773,0,2754,19,0,16394,"₹3,27,88,000 ",20991,"₹4,19,82,000 "
151,Udarbond,3185,1,3179,5,0,18276,"₹3,65,52,000 ",24009,"₹4,80,18,000 "
177,Manikpur,8188,5753,1262,1173,0,47852,"₹9,57,04,000 ",56961,"₹11,39,22,000 "
88,Murkongselek,,,,,,,,,
178,Sidli-chirang Pt.,16710,13258,3435,17,0,117577,"₹23,51,54,000 ",126923,"₹25,38,46,000 "
23,Balijana,726,564,160,2,0,4955,"₹99,10,000 ",5473,"₹1,09,46,000 "
157,Baskandi,877,0,852,25,0,5306,"₹1,06,12,000 ",6470,"₹1,29,40,000 "
154,Barjalenga,2586,0,2575,11,0,14675,"₹2,93,50,000 ",19750,"₹3,95,00,000 "
149,Kalain,10601,0,10585,16,0,58531,"₹11,70,62,000 ",78397,"₹15,67,94,000 "
160,Lakhipur,10230,8527,1696,7,0,70193,"₹14,03,86,000 ",75693,"₹15,13,86,000 "
155,Narshingpur,7770,0,7756,14,0,42354,"₹8,47,08,000 ",57897,"₹11,57,94,000 "
156,Palanghat,2340,0,2338,2,0,12505,"₹2,50,10,000 ",17035,"₹3,40,70,000 "
159,Rajabazar,2987,0,2926,61,0,17005,"₹3,40,10,000 ",22550,"₹4,51,00,000 "
153,Sonai,4446,0,4422,24,0,23300,"₹4,66,00,000 ",32975,"₹6,59,50,000 "
22,Kharmuja,12534,11388,1138,8,0,90427,"₹18,08,54,000 ",93944,"₹18,78,88,000 "
215,Bechimari,18151,195,13276,4680,0,27846,"₹5,56,92,000 ",129641,"₹25,92,82,000 "
216,Dolgaon-sialmari,20563,787,13224,6552,0,31964,"₹6,39,28,000 ",145204,"₹29,04,08,000 "
214,Kalaigaon,23866,623,17440,5803,0,41054,"₹8,21,08,000 ",169345,"₹33,86,90,000 "
212,Pachim-mangaldai,15662,59,12562,3041,0,27741,"₹5,54,82,000 ",115702,"₹23,14,04,000 "
213,Pub-mangaldai,17038,521,12689,3828,0,32868,"₹6,57,36,000 ",123984,"₹24,79,68,000 "
211,Sipajhar,33905,283,30324,3298,0,61636,"₹12,32,72,000 ",252171,"₹50,43,42,000 "
87,Sissibargaon,5622,5140,475,7,0,39660,"₹7,93,20,000 ",41111,"₹8,22,22,000 "
90,Bordoloni,4760,4338,416,6,0,33373,"₹6,67,46,000 ",34700,"₹6,94,00,000 "
86,Dhemaji,9114,8282,822,10,0,64984,"₹12,99,68,000 ",67489,"₹13,49,78,000 "
89,Machkhowa,,,,,,,,,
11,Chapar-salkocha,4052,68,3827,157,0,8201,"₹1,64,02,000 ",30342,"₹6,06,84,000 "
8,Debitola,9362,300,6971,2091,0,15541,"₹3,10,82,000 ",68952,"₹13,79,04,000 "
18,Fekamari,7133,6286,767,80,0,48685,"₹9,73,70,000 ",51683,"₹10,33,66,000 "
24,Krishnai,2021,1846,175,0,0,14378,"₹2,87,56,000 ",14898,"₹2,97,96,000 "
13,Gauripur,22736,37,18471,4228,0,39290,"₹7,85,80,000 ",169895,"₹33,97,90,000 "
6,Golokganj,4658,10,4260,388,0,8509,"₹1,70,18,000 ",34811,"₹6,96,22,000 "
9,Mahamaya,6797,674,5881,242,0,16243,"₹3,24,86,000 ",50168,"₹10,03,36,000 "
126,Golaghat Central,4172,0,4134,38,0,24677,"₹4,93,54,000 ",30804,"₹6,16,08,000 "
25,Matia,,,,,,,,,
191,Rampur,1406,1195,121,90,0,9795,"₹1,95,90,000 ",10310,"₹2,06,20,000 "
19,Mankachar,7403,6252,1119,32,0,50647,"₹10,12,94,000 ",54204,"₹10,84,08,000 "
7,Rupsi Pt.,10736,33,9362,1341,0,19961,"₹3,99,22,000 ",80727,"₹16,14,54,000 "
17,South Salmara,11917,5802,5943,172,0,57328,"₹11,46,56,000 ",88754,"₹17,75,08,000 "
27,Rongjuli,8424,7467,946,11,0,58086,"₹11,61,72,000 ",60908,"₹12,18,16,000 "
